,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol,Significance
206141_at,9.493509615,183.9524138,0.25963552,0.797039649,0.947062294,-4.606917638,MOCS3,Not Significant
209023_s_at,10.31283654,216.1113793,0.259582505,0.797080138,0.947062294,-4.606917993,STAG2,Not Significant
220028_at,9.352211538,349.9613793,0.259535551,0.797115998,0.947062294,-4.606918307,ACVR2B,Not Significant
207835_at,11.91735577,254.5158621,0.259534521,0.797116785,0.947062294,-4.606918314,FBLN1,Not Significant
206130_s_at,4.245913462,63.32103448,0.259295133,0.79729962,0.94718341,-4.606919915,ASGR2,Not Significant
220860_at,5.648701923,98.32344828,0.25928974,0.797303739,0.94718341,-4.606919951,PURG,Not Significant
213493_at,-2.745192308,27.85310345,-0.259130878,0.797425078,0.947277056,-4.606921013,SNED1,Not Significant
211027_s_at,-5.865817308,114.2113793,-0.258981032,0.797539536,0.947299908,-4.606922014,IKBKB,Not Significant
206116_s_at,41.37860577,1542.670345,0.25889131,0.797608071,0.947299908,-4.606922614,TPM1,Not Significant
221944_at,2.363605769,47.10482759,0.258881757,0.797615369,0.947299908,-4.606922677,FLJ42627,Not Significant
214237_x_at,8.543894231,193.8731034,0.258827419,0.797656876,0.947299908,-4.60692304,PAWR,Not Significant
218478_s_at,-13.70278846,409.3513793,-0.258743677,0.797720845,0.947325389,-4.606923599,ZCCHC8,Not Significant
209464_at,10.65759615,249.3762069,0.258564835,0.797857466,0.947396886,-4.606924792,AURKB,Not Significant
217169_at,-4.667019231,61.99586207,-0.258553553,0.797866084,0.947396886,-4.606924867,IGHA1,Not Significant
204540_at,8.157259615,188.7751724,0.258467235,0.797932027,0.9474247,-4.606925443,EEF1A2,Not Significant
209642_at,-9.526298077,144.4910345,-0.25838091,0.797997976,0.94745252,-4.606926018,BUB1,Not Significant
219135_s_at,6.592980769,139.1982759,0.25831794,0.798046084,0.947459155,-4.606926438,LMF1,Not Significant
221813_at,-14.523125,305.4872414,-0.258254183,0.798094794,0.947464136,-4.606926862,FBXO42,Not Significant
206599_at,6.858605769,84.56482759,0.258185805,0.798147035,0.947464136,-4.606927318,SLC16A5,Not Significant
